Household_ID,Country,Energy_Source,Monthly_Usage_kWh,Year,Household_Size,Income_Level,Urban_Rural,Adoption_Year,Subsidy_Received,Cost_Savings_USD
H01502,USA,Hydro,1043.49,2024,5,Low,Urban,2012,No,10.46
H02587,Australia,Geothermal,610.01,2024,4,High,Rural,2023,No,43.49
H02654,USA,Biomass,1196.75,2024,8,Low,Rural,2017,Yes,93.28
H01056,Colombia,Biomass,629.67,2024,7,High,Urban,2023,No,472.85
H00706,Egypt,Hydro,274.46,2022,7,Middle,Rural,2010,No,65.98
H00107,Brazil,Biomass,375.99,2022,2,High,Urban,2011,No,20.93
H00590,Ghana,Geothermal,547.5,2020,8,High,Rural,2012,Yes,21.99
H02469,New Zealand,Geothermal,759.23,2024,4,Low,Urban,2020,Yes,127.02
H02414,Peru,Biomass,571.7,2021,6,Low,Rural,2021,Yes,199.2
H01601,Argentina,Geothermal,851.77,2023,8,High,Urban,2019,Yes,108.09
H02465,Germany,Wind,385.35,2024,8,Middle,Urban,2018,No,190.91
H00229,France,Hydro,1315.9,2023,7,Middle,Rural,2015,Yes,309.88
H00916,South Korea,Wind,60.12,2020,5,Middle,Rural,2019,Yes,445.11
H00795,Chile,Geothermal,1001.42,2021,8,Middle,Urban,2021,Yes,483.41
H03022,Ghana,Biomass,1349.51,2020,2,Low,Rural,2012,Yes,340.29
H03544,South Africa,Geothermal,764.42,2022,7,High,Rural,2022,No,391.14
H01074,India,Wind,745.47,2024,5,Low,Urban,2010,Yes,378.25
H03352,Indonesia,Hydro,598.71,2022,3,High,Rural,2012,Yes,181.65
H01745,China,Wind,733.7,2022,3,Low,Rural,2019,Yes,168.73
H01085,Spain,Solar,336.45,2022,2,High,Rural,2013,No,489.73
H00927,New Zealand,Solar,880.87,2024,4,Middle,Urban,2020,No,483.96
H03050,Ghana,Solar,1311.18,2020,1,High,Rural,2018,No,88.96
H01118,Italy,Hydro,130.66,2021,4,Middle,Urban,2010,No,420.79
H00643,Indonesia,Solar,124.44,2020,6,High,Rural,2013,Yes,217.69
H04768,Italy,Wind,1377.88,2023,4,Low,Rural,2020,Yes,228.95
H00502,Ghana,Biomass,59.94,2020,8,Middle,Rural,2014,Yes,14.19
H04067,Nigeria,Geothermal,1185.31,2022,7,High,Urban,2014,Yes,25.91
H00334,USA,Solar,496.13,2020,3,High,Urban,2011,Yes,305.75
H04685,Egypt,Wind,1313.73,2020,8,High,Rural,2014,No,38.77
H00487,Colombia,Hydro,1212.39,2023,8,High,Rural,2023,No,349.67
H01963,Argentina,Wind,632.76,2023,6,Low,Rural,2010,No,47.87
H00394,Australia,Wind,1062.08,2022,5,Middle,Urban,2015,No,84.08
H04843,Germany,Geothermal,1003.4,2023,1,Low,Rural,2019,Yes,168.1
H04867,Colombia,Solar,1311.28,2023,6,Low,Rural,2019,Yes,467.23
H01756,Kenya,Solar,1363.84,2021,1,Low,Rural,2021,Yes,49.93
H02516,Japan,Biomass,1237.8,2021,8,Low,Urban,2020,No,310.58
H03586,Japan,Hydro,367.1,2020,6,High,Rural,2014,Yes,27.82
H04316,Australia,Biomass,128.28,2020,3,Middle,Urban,2015,Yes,135.61
H04967,New Zealand,Solar,396.76,2020,5,High,Urban,2014,No,392.42
H02100,USA,Biomass,228.6,2024,2,High,Rural,2014,Yes,186.42
H03600,Canada,Solar,1450.44,2023,1,Low,Rural,2019,No,134.22
H04122,Japan,Solar,1352.55,2022,4,Low,Urban,2017,Yes,143.43
H00030,New Zealand,Geothermal,1213.95,2024,5,High,Urban,2016,No,312.68
H00066,Kenya,Solar,1468.33,2023,1,High,Rural,2010,Yes,156.85
H00839,Mexico,Solar,138.11,2022,2,High,Rural,2013,No,218.23
H03907,Australia,Biomass,1190.76,2022,4,Middle,Rural,2011,Yes,155.12
H03774,Japan,Geothermal,508.24,2021,8,Low,Rural,2014,Yes,370.51
H04636,Australia,Geothermal,479.92,2022,6,High,Urban,2011,Yes,158.06
H03162,USA,Solar,286.32,2020,3,Low,Urban,2020,Yes,434.88
H02660,Kenya,Geothermal,889.87,2024,4,Middle,Rural,2020,No,234.43
H04616,France,Hydro,1413.96,2024,1,Middle,Rural,2011,Yes,324.11
